5.386e+05 6.386e-01 1.283e+00
1.518e+05 1.065e-01 1.782e-01
7.776e+05 5.234e-01 1.070e+00
4.731e+05 2.846e-01 6.731e-01
5.661e+05 8.407e-01 1.850e+00
3.387e+05 2.543e-01 4.221e-01
4.045e+05 2.312e-01 5.973e-01
2.018e+05 1.605e-01 2.637e-01
2.995e+05 3.087e-01 5.119e-01
6.451e+05 8.828e-01 1.904e+00
4.176e+05 3.673e-01 8.161e-01
8.444e+05 7.270e-01 1.436e+00
6.545e+05 7.126e-01 1.640e+00
2.696e+05 2.218e-01 3.626e-01
3.526e+05 5.062e-01 1.051e+00
3.824e+05 3.444e-01 7.914e-01
5.765e+05 7.501e-01 1.454e+00
7.900e+05 5.923e-01 1.200e+00
5.581e+05 7.559e-01 1.731e+00
3.111e+05 2.540e-01 4.221e-01
5.082e+05 2.481e-01 3.974e-01
9.442e+05 9.557e-01 1.990e+00
1.924e+05 1.550e-01 2.568e-01
4.469e+05 3.835e-01 8.353e-01
9.494e+05 7.756e-01 1.850e+00
8.252e+05 9.311e-01 1.983e+00
7.725e+05 9.012e-01 2.216e+00
5.321e+05 1.002e+00 1.659e+00
4.269e+05 6.176e-01 1.249e+00
5.416e+05 5.815e-01 1.187e+00
7.943e+05 8.272e-01 1.614e+00
7.820e+04 1.094e-02 2.081e-02
2.487e+05 2.305e-01 5.714e-01
3.985e+05 5.602e-01 1.133e+00
1.897e+05 1.453e-01 2.420e-01
7.291e+05 4.935e-01 1.010e+00
5.714e+05 7.176e-01 1.633e+00
4.312e+05 6.365e-01 1.415e+00
4.244e+05 7.352e-01 1.316e+00
7.121e+05 1.036e+00 2.253e+00
3.868e+05 2.559e-01 4.220e-01
6.028e+05 8.163e-01 1.567e+00
1.145e+06 1.025e+00 2.264e+00
8.023e+05 8.029e-01 1.843e+00
4.751e+05 6.364e-01 1.408e+00
5.406e+05 8.890e-01 1.695e+00
5.940e+05 4.476e-01 9.619e-01
8.724e+05 8.261e-01 1.646e+00
4.897e+05 7.400e-01 1.439e+00
4.613e+05 7.542e-01 1.744e+00
5.379e+05 2.922e-01 4.769e-01
2.922e+05 4.095e-01 8.634e-01
5.979e+05 4.150e-01 9.440e-01
5.945e+05 5.457e-01 9.260e-01
6.253e+05 9.172e-01 1.968e+00
6.353e+05 5.216e-01 1.119e+00
3.724e+05 4.484e-01 9.535e-01
4.939e+05 4.094e-01 8.820e-01
3.584e+05 4.791e-01 7.823e-01
2.443e+05 1.533e-01 4.999e-01
1.994e+05 1.545e-01 2.312e-01
3.120e+05 4.683e-01 9.677e-01
3.233e+05 1.836e-01 3.015e-01
1.711e+05 9.549e-02 1.592e-01
3.556e+05 2.506e-01 6.097e-01
3.571e+05 2.553e-01 4.196e-01
6.104e+05 2.670e-01 6.392e-01
3.599e+05 5.216e-01 1.046e+00
2.584e+05 2.757e-01 4.536e-01
2.062e+05 2.170e-01 5.544e-01
7.671e+05 6.603e-01 1.349e+00
9.380e+05 1.025e+00 2.220e+00
9.032e+05 6.777e-01 1.341e+00
3.447e+05 4.413e-01 9.604e-01
1.012e+06 1.033e+00 2.176e+00
3.539e+05 2.739e-01 4.568e-01
2.355e+05 3.050e-01 5.009e-01
2.371e+05 3.056e-01 8.064e-01
4.624e+05 8.131e-01 1.528e+00
4.140e+05 4.295e-01 9.273e-01
7.416e+05 9.379e-01 1.842e+00
3.090e+05 4.380e-01 9.196e-01
1.683e+05 9.322e-02 1.572e-01
3.299e+05 2.988e-01 7.103e-01
2.219e+05 1.741e-01 2.802e-01
6.144e+05 7.182e-01 1.396e+00
2.723e+05 3.569e-01 7.827e-01
8.646e+05 1.065e+00 2.377e+00
8.443e+05 9.320e-01 1.909e+00
4.394e+05 2.022e-01 3.291e-01
7.850e+05 8.286e-01 1.962e+00
2.538e+05 3.405e-01 6.079e-01
4.822e+05 6.836e-01 1.522e+00
3.494e+05 3.730e-01 6.592e-01
1.132e+06 8.382e-01 1.891e+00
2.708e+05 2.596e-01 4.228e-01
9.598e+05 8.739e-01 1.930e+00
1.031e+05 3.529e-02 6.109e-02
5.956e+05 9.630e-01 1.820e+00
1.254e+05 7.073e-02 1.181e-01
